RecordID,InputAddress,City,State,Zip,Latitude,Longitude
320,14 Curie Ct,Irvine,CA,92617,33.639515,-117.842226
321,6 Urey Ct,Irvine,CA,92617,33.638255,-117.839239
322,10 Owen Ct,Irvine,CA,92617,33.639452,-117.838477
323,3 Dickens Ct,Irvine,CA,92617,33.63903,-117.843369
324,5 Russell Ct,Irvine,CA,92617,33.641117,-117.839173
325,20 Dickens Ct,Irvine,CA,92617,33.638803,-117.84203
326,20 Russell Ct,Irvine,CA,92617,33.641414,-117.840122
327,15 Dickens Ct,Irvine,CA,92617,33.638714,-117.842755
328,4 Urey Ct,Irvine,CA,92617,33.638255,-117.839239
329,63 Schubert Ct,Irvine,CA,92617,33.641823,-117.83947
330,20 Murasaki St,Irvine,CA,92617,33.640398,-117.834236
331,25 Murasaki St,Irvine,CA,92617,33.639895,-117.833981
332,10 Virgil Ct,Irvine,CA,92617,33.638613,-117.837959
333,9 Fuertes,Irvine,CA,92617,33.639512,-117.83477
334,46 Schubert Ct,Irvine,CA,92617,33.641736,-117.838187
335,28 Perkins Ct,Irvine,CA,92617,33.639785,-117.838796
336,6 Russell Ct,Irvine,CA,92617,33.6415,-117.838897
337,14 Alcott Ct,Irvine,CA,92617,33.639869,-117.841058
338,15 Owen Ct,Irvine,CA,92617,33.639249,-117.837791
339,8 Frost,Irvine,CA,92617,33.639323,-117.835086
340,2 Fuertes,Irvine,CA,92617,33.640069,-117.83517
341,12 Gibbs Ct,Irvine,CA,92617,33.638154,-117.842767
342,129 Schubert Ct,Irvine,CA,92617,33.642242,-117.838615
343,30 Los Trancos Dr,Irvine,CA,92617,33.637163,-117.843125
344,8 Fuertes,Irvine,CA,92617,33.639876,-117.834613
345,18 Handel Ct,Irvine,CA,92617,33.635293,-117.841349
346,4 Zola Ct,Irvine,CA,92617,33.637793,-117.837725
347,16 Murasaki St,Irvine,CA,92617,33.640568,-117.834564
348,12 Eliot Ct,Irvine,CA,92617,33.635437,-117.842016
349,8 Zola Ct,Irvine,CA,92617,33.638,-117.83746
350,8 Alcott Ct,Irvine,CA,92617,33.640158,-117.84109
351,525 E Peltason Dr,Irvine,CA,92617,33.643708,-117.837191
352,11 Owen Ct,Irvine,CA,92617,33.639184,-117.837942
353,32 Twain,Irvine,CA,92617,33.63865,-117.834919
